REPORT_COUNTER,STRAND_NO,PROD_COUNTER,VARIABLE_ID,VALUE_CODE,MIN_VALUE,MAX_VALUE,AVG_VALUE,AVG_SET_VALUE,STDDEV_VALUE,MEDIAN_VALUE,NO_SAMPLES,SUM_SAMPLE_VALUES,SUM_PWR_SAMPLE_VALUES,AVG_RANGE_VALUE
56071,1,4,13,3,6.812e-07,0.0037013918,0.0001515831,0.0,0.0002618455,0.0,221,0.0334998556526,1.4e-05,0.0
60739,1,5,13,3,9.54e-08,0.0028831277,0.00030808,0.0,0.0004525932,0.0,185,0.0569948074108,4.2e-05,0.0
50277,1,3,13,3,1.9584e-06,0.0009116956,0.0002215227,0.0,0.0001583,0.0,183,0.0405386522347,2e-06,0.0
94289,1,2,13,2,-0.0065007209,0.0084843636,0.0002504885,0.0,0.0035242564,0.0,208,0.0521016187,0.0025838,0.0
74875,1,1,13,3,5.99156e-05,0.0010041569,0.0004285532,0.0,0.0002615638,0.0,110,0.0471408479067,1.5e-05,0.0
57457,1,6,45,3,0.0139182452,0.0180471362,0.0163026306,0.0,0.0014455858,0.0,161,2.624723530244,0.043131,0.0
36365,1,4,13,3,3.2672e-06,0.0005389143,0.0001635467,0.0,0.0001261016,0.0,192,0.0314009625841,0.0,0.0
34761,1,4,45,2,28.1599121094,31.5524902344,30.116346165,0.0,1.086525125,0.0,167,5029.4298095715,151664.0182746,0.0
90039,1,2,13,3,4.9518e-06,0.0020118861,0.0004507895,0.0,0.0003346272,0.0,183,0.0824944820551,5.3e-05,0.0
83545,1,2,13,3,4.7684e-06,0.0019979345,0.0004712333,0.0,0.0002991089,0.0,176,0.0829370632018,3.5e-05,0.0
31094,1,1,13,1,3.9970984459,4.0027165413,4.0004758629,4.0,0.0013482583,0.0,128,512.0609104629,2048.487543559,0.0
43542,1,1,45,3,0.0184923674,0.0184923674,0.0184923674,0.0,7e-10,0.0,26,0.480801552218,0.008892,0.0
70380,1,2,13,1,4.996368885,5.1032252312,5.0214344614,5.0211140323,0.0408044679,0.0,173,868.7081618307,4362.447481549,0.0
110724,1,7,45,1,1557.6787109375,1557.6787109375,1557.6787109375,1533.0,0.0,0.0,17,26480.5380859375,41248170.4306345,0.0
20560,1,3,45,1,1576.1610107422,1576.1610107422,1576.1610107422,1532.0,0.0,0.0,39,61470.2794189458,96887057.7395711,0.0
96083,1,3,13,2,-0.0065178871,0.0063605308,-2.19693e-05,0.0,0.0034048726,0.0,192,-0.0042181084,0.0022143,0.0
78645,1,2,45,3,0.0146779,0.0159944757,0.015110696,0.0,0.000303971,0.0,177,2.6745931945085,0.040412,0.0
87753,1,2,45,2,20.0715332031,21.3737792969,20.5304040243,0.0,0.5891430419,0.0,215,4414.0368652365,90696.2373751,0.0
99500,1,2,45,3,0.0166460028,0.0201560054,0.0177883131,0.0,0.0012927845,0.0,211,3.7533340612973,0.067133,0.0
22747,1,3,45,3,0.0197647204,0.0450425899,0.0286921747,0.0,0.0089084115,0.0,126,3.6152140137922,0.113657,0.0
