SLAB_ID,PROD_COUNTER,REPORT_COUNTER,LADLE_ID,HEAT_ID,CUT_DATE,speed,temperature,WEIGHT,LIQUIDUS_TEMP,START_WGT,FINAL_WGT,STEEL_GROUP_CODE,STEEL_GROUP_DESCR,STEEL_GRADE_NAME,FINAL_STEEL_GRADE_NAME,START_DATE,STOP_DATE,DURATION
123C0059343,3,71229,46,23C005934,2023-10-27 02:47:32.000,4.1999990418,1560.6220037763,24749.7277967108,1534,128177.230834961,349.0295410156,1,Low Carbon,SAE1006,SAE1006,2023-10-27 02:11:49.000,2023-10-27 03:11:04.000,3554
123E0035575,5,63279,13,23E003557,2023-07-06 07:25:42.000,5.1464548015,1567.0535327148,19891.0690375454,1533,121643.524169922,101.2725830078,1,Low Carbon,SAE1006,SAE1006,2023-07-06 06:50:33.000,2023-07-06 07:36:49.000,2775
121A0045244,4,16387,40,21A004524,2021-05-29 15:27:35.000,5.4001380584,1558.6154785156,22979.7561600934,1532,117259.841918945,115.7379150391,1,Low Carbon,SAE1006,SAE1006,2021-05-29 14:56:59.000,2021-05-29 15:38:08.000,2468
121C0029652,2,13657,2,21C002965,2021-04-14 20:16:59.000,3.9999890629,1561.9575195313,22988.6083855277,1533,106684.020996094,36.1709594727,1,Low Carbon,SAE1006,SAE1006,2021-04-14 19:46:52.000,2021-04-14 20:39:12.000,3140
223A0058091,1,65932,40,23A005809,2023-11-05 00:21:50.000,4.3999665382,1539.4225216596,20746.6804553595,1519,80424.7741699219,16205.8753967285,3,Medium Carbon,S275JR+AR,S275JR+AR,2023-11-05 00:00:50.000,2023-11-05 01:01:48.000,3658
125A0064234,4,119781,41,25A006423,2025-10-29 06:15:23.000,5.0000483235,1561.1804238596,20585.7582250084,1533,121189.590454102,294.7769165039,1,Low Carbon,SAE1006,SAE1006,2025-10-29 05:33:02.000,2025-10-29 06:29:09.000,3367
225B0004083,3,96896,20,25B000408,2025-01-15 12:28:44.000,4.4999741532,1559.2288624156,23802.6679135796,1533,111703.918457031,68.359375,1,Low Carbon,SAE1006,SAE1006,2025-01-15 11:52:43.000,2025-01-15 12:43:10.000,3026
225D0056156,6,109766,34,25D005615,2025-08-19 15:52:16.000,4.8002152048,1549.6091291756,23054.3734948253,1534,127546.295166016,95.8480834961,1,Low Carbon,SAE1006,SAE1006,2025-08-19 14:58:27.000,2025-08-19 15:52:18.000,3231
222C0070994,4,45538,40,22C007099,2022-10-28 17:09:09.000,3.4999912536,1544.2430462015,24007.8657130598,1519,127423.324584961,151.9088745117,3,Medium Carbon,SS400,SS400,2022-10-28 16:28:26.000,2022-10-28 17:21:33.000,3187
222D0025964,4,33386,3,22D002596,2022-04-02 11:38:33.000,4.5001575652,1548.5510007022,24011.5024806624,1518,116919.845581055,151.9088745117,3,Medium Carbon,SS400,SS400,2022-04-02 11:08:05.000,2022-04-02 11:48:40.000,2435
125C0074265,5,121411,52,25C007426,2025-11-28 06:22:03.000,4.599871996,1556.7924075909,22787.2506660219,1533,125909.652709961,122.9782104492,1,Low Carbon,SAE1006,SAE1006,2025-11-28 05:27:49.000,2025-11-28 06:29:34.000,3704
122B0009185,5,31261,18,22B000918,2022-02-03 05:42:52.000,4.7998638153,1559.7041015625,22739.1311563332,1533,125034.149169922,1994.499206543,1,Low Carbon,SAE1006,SAE1006,2022-02-03 04:57:55.000,2022-02-03 05:49:51.000,3115
124D0060591,1,92651,46,24D006059,2024-08-24 18:29:05.000,3.9000710046,1561.7122584932,23955.2772411166,1533,121406.616210938,231.4834594727,1,Low Carbon,SAE1006,SAE1006,2024-08-24 18:08:27.000,2024-08-24 19:14:40.000,3972
222A0006246,6,29212,42,22A000624,2022-01-30 11:06:37.000,4.8000064049,1563.8310546875,21122.5066343079,1532,119509.552001953,122.9782104492,1,Low Carbon,SAE1006,SAE1006,2022-01-30 10:15:42.000,2022-01-30 11:13:04.000,3441
225D0043295,5,106432,21,25D004329,2025-06-14 05:13:18.000,4.7999716256,1563.3257814699,24749.9406721304,1533,99424.9114990234,77.4002075195,1,Low Carbon,SAE1006,SAE1006,2025-06-14 04:24:44.000,2025-06-14 05:13:18.000,2914
122A0017481,1,33837,21,22A001748,2022-03-11 18:51:24.000,4.200335451,1548.6072008287,23950.9518908884,1516,127625.869750977,144.6762084961,3,Medium Carbon,SS400,SS400,2022-03-11 18:33:22.000,2022-03-11 19:20:14.000,2811
122B0052701,1,42925,42,22B005270,2022-07-23 06:07:48.000,4.4999933723,1563.8740828664,22162.5346454176,1533,120203.994750977,57.8689575195,1,Low Carbon,SAE1006,SAE1006,2022-07-23 05:47:40.000,2022-07-23 06:44:54.000,3433
222B0029836,6,34928,20,22B002983,2022-04-24 20:43:17.000,5.1247996827,1554.2312764607,21336.0660499348,1533,110308.166503906,50.6362915039,1,Low Carbon,SAE1006,SAE1006,2022-04-24 19:53:37.000,2022-04-24 20:49:19.000,3341
122C0004041,1,30047,4,22C000404,2022-01-14 21:00:44.000,4.9999348996,1554.7923583984,19313.1287877475,1533,116956.024169922,14.4653320313,1,Low Carbon,SAE1006,SAE1006,2022-01-14 20:42:26.000,2022-01-14 21:42:46.000,3619
124D0030874,4,84453,18,24D003087,2024-04-21 04:38:16.000,4.4003060371,1530.2964187553,23771.1043888413,1520,122120.956420898,104.8889160156,3,Medium Carbon,S275JR+AR,S275JR+AR,2024-04-21 03:52:00.000,2024-04-21 04:45:47.000,3227
